Model,MAE,RMSE,R2 Score
Linear Regression,92553.96918962427,120696.31293810686,-26.535297472544304
Random Forest,9837.59795676808,13866.137111040958,0.6365767176674114
Gradient Boosting,8695.53206409673,12135.905300813054,0.7216148122428394
XGBoost,10739.142204550468,14566.717038730347,0.5989254230798684
LightGBM,10718.177443508162,14524.847358439725,0.6012277579261968
ARIMA,18058.667890224267,22261.156344662515,0.06330714921877756
SARIMA,18135.20559458474,22897.15946553816,0.00901978587584118
Ensemble Stack,9132.113431562711,12893.429363838919,0.6857765037011376
